id,measure_id,measure_name,interval_type,value_type,measure_value,year_to_date_variance,budget_variance,decimal_accuracy,desired_direction,category,data_source_notes,city_perspective_note,year,period_number_in_year,target,note
4056,1.26,Food Bank Usage ,m,n,55720,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2015,1,NA,NA
4057,1.26,Food Bank Usage ,m,n,54290,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2015,2,NA,NA
4058,1.26,Food Bank Usage ,m,n,61350,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2015,3,NA,NA
4059,1.26,Food Bank Usage ,m,n,61880,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2015,4,NA,NA
4060,1.26,Food Bank Usage ,m,n,60280,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2015,5,NA,NA
4061,1.26,Food Bank Usage ,m,n,60730,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2015,6,NA,NA
4062,1.26,Food Bank Usage ,m,n,60240,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2015,7,NA,NA
4063,1.26,Food Bank Usage ,m,n,57440,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2015,8,NA,NA
4064,1.26,Food Bank Usage ,m,n,58860,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2015,9,NA,NA
4065,1.26,Food Bank Usage ,m,n,64700,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2015,10,NA,NA
4066,1.26,Food Bank Usage ,m,n,62200,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2015,11,NA,NA
4067,1.26,Food Bank Usage ,m,n,60300,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2015,12,NA,NA
4068,1.26,Food Bank Usage ,m,n,59775,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2016,1,NA,NA
4069,1.26,Food Bank Usage ,m,n,60771,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2016,2,NA,NA
4070,1.26,Food Bank Usage ,m,n,72329,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2016,3,NA,NA
4071,1.26,Food Bank Usage ,m,n,67520,0.02,NA,NA,Down,Community Vulnerability," Includes Daily Bread Food Bank member food banks. North York Harvest Food Bank agencies are not included. Client visits represents the total number of people served. For example, if a family of two visits their food bank twice in the month, it is counted as four client visits in the total for that month. ",,2016,4,NA,NA
